[WARNING] [2025-04-22 09:35:09,056] Error loading C:\Users\raman\OneDrive\Documents\GitHub\color_picker_model\shapes_jsons\neural_network_visualization.json: Expecting value: line 1 column 1 (char 0)
[INFO] [2025-04-22 09:35:42,013] Epoch 185/200 - Loss: 0.0013
[INFO] [2025-04-22 09:35:42,052] Epoch 186/200 - Loss: 0.0012
[INFO] [2025-04-22 09:35:42,087] Epoch 187/200 - Loss: 0.0012
[INFO] [2025-04-22 09:35:42,129] Epoch 188/200 - Loss: 0.0012
[INFO] [2025-04-22 09:35:42,179] Epoch 189/200 - Loss: 0.0011
[INFO] [2025-04-22 09:35:42,216] Epoch 190/200 - Loss: 0.0011
[INFO] [2025-04-22 09:35:42,262] Epoch 191/200 - Loss: 0.0011
[INFO] [2025-04-22 09:35:42,311] Epoch 192/200 - Loss: 0.0011
[INFO] [2025-04-22 09:35:42,351] Epoch 193/200 - Loss: 0.0011
[INFO] [2025-04-22 09:35:42,390] Epoch 194/200 - Loss: 0.0010
[INFO] [2025-04-22 09:35:42,433] Epoch 195/200 - Loss: 0.0011
[INFO] [2025-04-22 09:35:42,474] Epoch 196/200 - Loss: 0.0010
[INFO] [2025-04-22 09:35:42,513] Epoch 197/200 - Loss: 0.0010
[INFO] [2025-04-22 09:35:42,553] Epoch 198/200 - Loss: 0.0010
[INFO] [2025-04-22 09:35:42,596] Epoch 199/200 - Loss: 0.0010
[INFO] [2025-04-22 09:35:42,636] Epoch 200/200 - Loss: 0.0009
[INFO] [2025-04-22 09:35:42,639] Model saved as clip_to_rgb_model.pth
